31,56,72,81,56
35,62,65,38,71
47,79,79,37,80
47,79,79,37,80
62,66,79,71,73
57,32,66,68,77
28,70,74,82,72
28,70,74,82,72
49,26,69,100,64
46,56,85,64,86
46,56,85,64,86
43,30,70,57,63
40,27,88,60,67
40,27,88,60,67
39,37,94,50,84
34,46,71,76,68
39,11,72,54,67
39,11,72,54,67
56,78,73,46,89
67,33,75,71,82
67,33,75,71,82
28,63,93,73,75
41,76,69,73,69
41,76,69,73,69
43,51,89,75,79
29,49,104,48,71
37,65,84,57,66
37,65,84,57,66
42,76,88,38,76
41,57,75,53,86
41,57,75,53,86
37,39,72,91,57
64,80,62,93,66
25,53,88,75,69
64,80,62,93,66
44,32,78,77,67
46,45,57,69,64
46,45,57,69,64
12,38,106,60,76
42,19,75,42,75
30,67,81,65,69
30,67,81,65,69
30,55,89,58,76
46,45,61,69,90
46,45,61,69,90
20,41,61,54,74
43,71,92,71,80
43,71,92,71,80
44,42,73,79,75
62,63,91,66,69
53,82,85,47,82
53,82,85,47,82
48,81,79,76,77
42,45,90,58,81
42,45,90,58,81
48,19,64,66,70
36,68,69,71,78
36,68,69,71,78
50,42,69,89,64
28,42,76,72,65
35,51,71,50,68
35,51,71,50,68
42,49,78,60,73
50,57,82,70,63
50,57,82,70,63
46,39,68,91,84
56,52,91,46,78
56,52,91,46,78
26,25,63,67,69
36,45,86,65,70
27,45,84,50,52
27,45,84,50,52
47,55,91,70,65
48,53,80,55,81
48,53,80,55,81
43,72,78,60,76
56,42,54,63,51
56,42,54,63,51
54,43,65,62,77
50,73,99,79,72
31,66,70,64,76
31,66,70,64,76
55,34,97,55,63
55,34,97,55,63
36,49,93,88,60
55,34,97,55,63
36,49,93,88,60
56,69,65,54,79
52,84,83,83,80
52,84,83,83,80
48,101,87,96,58
36,55,86,69,68
39,64,89,70,70
21,56,92,63,73
18,70,94,94,85
18,70,94,94,85
5,14,103,102,70
-1,100,93,90,94
21,74,87,94,84
21,74,87,94,84
19,69,95,84,90
21,77,109,89,103
21,77,109,89,103
18,35,103,99,92
19,71,103,53,82
19,71,103,53,82
20,58,100,100,105
17,85,86,78,100
10,99,135,92,91
10,99,135,92,91
7,106,84,113,96
11,62,90,106,96
11,62,90,106,96
8,118,94,101,95
7,35,118,106,110
7,35,118,106,110
8,91,125,110,94
8,11,80,83,110
9,73,92,91,69
9,73,92,91,69
9,108,97,57,97
5,58,107,98,83
5,58,107,98,83
3,106,120,112,108
7,29,125,119,110
7,29,125,119,110
8,74,96,126,74
6,111,127,102,106
7,96,114,100,89
7,96,114,100,89
6,96,132,125,95
2,73,110,98,106
2,73,110,98,106
3,89,107,139,105
4,85,126,113,104
4,85,126,113,104
4,103,110,100,105
5,73,138,93,107
3,104,95,108,121
3,104,95,108,121
2,83,133,126,115
6,102,129,84,106
6,102,129,84,106
2,94,54,95,115
8,65,122,127,106
9,118,133,117,111
9,118,133,117,111
9,91,118,126,105
5,80,100,129,112
5,80,100,129,112
7,95,123,121,119
8,104,60,107,116
8,104,60,107,116
9,95,132,126,122
6,116,129,119,94
4,130,142,92,120
4,130,142,92,120
7,120,135,116,115
6,88,119,137,86
6,88,119,137,86
7,112,130,114,118
7,112,130,114,118
8,17,70,111,112
8,17,70,111,112
24,90,100,145,127
41,43,117,109,123
41,43,117,109,123
43,79,126,134,111
44,46,56,118,119
44,46,56,118,119
41,75,73,102,126
46,58,77,54,80
47,65,83,96,96
47,65,83,96,96
51,72,27,55,94
44,37,29,73,73
44,37,29,73,73
48,65,19,60,99
44,29,81,62,76
44,29,81,62,76
53,25,100,93,62
60,80,66,107,67
67,51,91,61,80
67,51,91,61,80
33,70,104,69,80
28,34,87,66,97
28,34,87,66,97
42,73,58,79,61
53,37,58,64,67
53,37,58,64,67
52,79,62,85,78
39,43,92,57,68
57,64,72,61,76
57,64,72,61,76
13,40,53,54,78
32,30,105,58,67
32,30,105,58,67
46,50,72,55,77
51,72,80,59,83
51,72,80,59,83
32,60,78,49,74
69,63,65,66,77
28,32,82,67,76
28,32,82,67,76
43,29,60,59,71
31,39,97,68,85
31,39,97,68,85
47,43,81,43,78
47,43,81,43,78
17,52,76,63,84
17,52,76,63,84
34,47,69,71,76
35,76,62,61,75
35,76,62,61,75
35,44,80,78,77
32,54,91,68,84
32,54,91,68,84
41,75,75,70,71
18,94,100,89,70
27,85,102,98,78
27,85,102,98,78
10,72,86,81,73
5,47,92,80,104
5,47,92,80,104
16,66,101,98,82
21,73,80,63,85
22,90,102,90,90
22,90,102,90,90
18,76,99,83,82
19,64,111,79,79
19,64,111,79,79
18,92,124,50,110
12,72,98,102,99
12,72,98,102,99
10,96,102,109,105
8,58,90,69,94
9,63,110,101,92
9,63,110,101,92
12,87,99,119,95
6,67,107,107,101
6,67,107,107,101
12,40,75,111,92
6,67,112,110,103
6,67,112,110,103
8,73,120,105,101
7,88,110,119,110
7,100,118,78,104
7,100,118,78,104
2,105,108,102,95
3,27,113,84,104
3,27,113,84,104
3,95,115,101,110
4,106,105,120,96
4,106,105,120,96
6,110,117,111,109
6,65,96,129,114
2,116,132,101,127
2,116,132,101,127
3,70,117,67,72
4,91,106,138,108
4,91,106,138,108
2,122,113,126,98
6,110,101,123,80
6,110,101,123,80
6,120,117,141,118
6,66,132,116,91
8,101,113,94,102
8,101,113,94,102
8,70,143,100,100
8,70,143,100,100
8,70,143,100,100
7,111,117,138,76
7,111,117,138,76
24,75,112,135,109
41,53,118,120,114
41,53,118,120,114
27,47,70,109,127
34,61,114,79,97
40,47,97,102,121
40,47,97,102,121
51,74,34,94,99
43,81,95,96,90
43,81,95,96,90
49,63,103,101,90
46,49,104,62,80
50,55,82,102,78
50,55,82,102,78
48,44,90,74,82
59,62,89,88,58
59,62,89,88,58
53,57,64,94,88
22,29,71,79,72
22,29,71,79,72
40,87,38,84,69
72,79,68,43,82
49,53,96,37,73
49,53,96,37,73
58,81,96,64,67
21,42,60,73,76
21,42,60,73,76
31,45,75,54,83
56,-1,110,76,72
56,-1,110,76,72
46,27,79,53,73
41,47,55,53,70
23,62,76,49,74
23,62,76,49,74
27,53,83,60,76
35,23,74,57,70
35,23,74,57,70
25,62,81,99,75
44,72,86,57,72
44,72,86,57,72
33,55,74,57,78
31,47,80,62,65
29,76,90,65,64
29,76,90,65,64
59,51,82,67,73
74,56,69,60,70
74,56,69,60,70
13,33,83,53,69
33,43,69,70,69
33,43,69,70,69
33,43,69,70,69
50,64,79,66,68
49,53,86,70,68
49,53,86,70,68
52,76,94,50,72
47,62,86,65,76
47,62,86,65,76
24,64,88,51,62
28,38,102,75,81
19,59,92,75,80
19,59,92,75,80
15,82,94,64,83
10,86,105,91,82
10,86,105,91,82
3,76,86,76,93
20,91,108,69,80
20,91,108,69,80
19,83,107,69,78
17,76,88,85,85
14,64,127,64,85
14,64,127,64,85
23,102,95,38,86
24,84,113,46,113
24,84,113,46,113
20,84,104,90,94
13,78,102,86,85
13,78,102,86,85
3,72,107,103,92
11,77,109,52,92
6,90,114,117,83
6,90,114,117,83
8,95,113,75,88
7,124,90,120,101
7,124,90,120,101
3,37,101,100,98
8,89,112,103,100
8,89,112,103,100
8,75,125,123,106
9,81,108,110,110
6,88,98,119,109
6,88,98,119,109
8,48,120,101,99
9,58,129,99,99
9,58,129,99,99
8,23,117,113,94
2,76,98,127,103
6,110,130,94,105
6,110,130,94,105
6,97,102,118,111
5,84,150,102,89
5,84,150,102,89
7,97,120,84,121
4,82,144,84,113
4,82,144,84,113
3,117,115,94,84
6,87,92,110,110
4,103,128,88,112
4,103,128,88,112
5,107,155,121,116
2,130,101,111,114
2,130,101,111,114
6,120,97,103,94
6,120,97,103,94
1,106,123,128,115
1,106,123,128,115
26,82,107,81,120
34,74,94,94,89
34,74,94,94,89
21,68,127,90,121
39,61,90,62,98
39,61,90,62,98
42,65,96,60,85
44,18,75,109,78
41,45,120,113,81
41,45,120,113,81
48,31,78,108,93
43,33,113,50,81
43,33,113,50,81
46,83,97,112,90
51,61,95,91,59
51,61,95,91,59
58,40,45,94,99
23,53,86,77,79
58,49,97,81,89
58,49,97,81,89
47,72,77,60,67
71,37,92,89,75
71,37,92,89,75
49,31,60,53,67
58,36,84,58,75
58,36,84,58,75
19,64,49,70,74
43,44,85,23,77
40,63,62,36,77
40,63,62,36,77
32,22,93,95,78
21,39,89,66,61
21,39,89,66,61
62,57,89,42,64
48,18,110,62,70
48,18,110,62,70
44,59,70,71,71
10,63,100,60,74
46,65,88,72,73
46,65,88,72,73
41,48,79,86,68
38,78,75,61,78
38,78,75,61,78
48,35,81,81,66
25,40,88,78,61
36,19,66,53,75
36,19,66,53,75
46,59,85,82,70
23,37,83,86,67
23,37,83,86,67
41,20,75,56,82
12,31,88,70,72
12,31,88,70,72
12,31,88,70,72
12,31,88,70,72
28,42,65,91,80
53,70,81,67,70
33,42,65,51,80
33,42,65,51,80
29,62,79,91,66
34,55,97,48,72
34,55,97,48,72
32,80,103,63,75
19,79,89,55,58
19,79,89,55,58
24,64,98,44,78
7,68,87,95,57
1,71,95,88,99
1,71,95,88,99
26,83,99,93,76
21,84,83,68,79
21,84,83,68,79
19,18,91,99,101
18,42,106,116,89
18,42,106,116,89
22,89,95,105,82
18,67,106,89,99
15,81,113,104,82
15,81,113,104,82
14,76,115,59,80
12,45,106,102,92
12,45,106,102,92
14,99,112,81,98
12,94,133,120,95
12,94,133,120,95
9,97,101,103,95
7,93,115,109,89
13,59,112,74,100
13,59,112,74,100
0,96,92,118,94
10,98,97,119,85
10,98,97,119,85
7,109,121,108,105
5,59,97,115,95
5,59,97,115,95
9,82,107,62,108
5,127,119,115,79
7,91,127,107,105
7,91,127,107,105
8,101,123,109,91
7,75,136,126,104
7,75,136,126,104
8,37,108,104,110
8,105,132,111,125
8,105,132,111,125
9,97,122,83,101
6,87,118,111,100
5,98,127,117,102
5,98,127,117,102
3,63,149,130,90
5,93,102,36,105
5,93,102,36,105
10,110,106,110,109
1,126,135,79,117
7,118,141,117,106
7,118,141,117,106
7,118,141,117,106
7,118,141,117,106
6,128,125,141,100
30,93,101,130,104
30,93,101,130,104
40,41,127,117,116
41,67,93,128,115
41,67,93,128,115
38,72,89,87,107
35,65,83,27,115
47,23,93,82,107
47,23,93,82,107
49,73,79,87,112
39,25,86,98,30
39,25,86,98,30
49,28,71,50,60
47,47,62,104,86
47,47,62,104,86
44,52,90,107,56
50,50,122,110,74
40,18,70,100,61
40,18,70,100,61
73,49,75,54,74
40,78,77,29,88
40,78,77,29,88
36,36,50,70,70
14,66,51,58,78
14,66,51,58,78
57,37,108,52,55
60,48,70,84,74
38,67,72,88,72
38,67,72,88,72
38,76,69,37,73
58,59,86,48,82
58,59,86,48,82
42,53,81,69,71
